"index","title","filename","absolute_path"
"1","9 20 Special","9 20 Special - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/9 20 Special - Jazz Lead Sheet.pdf"
"2","A Foggy Day","A Foggy Day - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/A Foggy Day - Jazz Lead Sheet.pdf"
"3","A Night in Tunisia","A Night in Tunisia - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/A Night in Tunisia - Jazz Lead Sheet.pdf"
"4","A Smooth One","A Smooth One - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/A Smooth One - Jazz Lead Sheet.pdf"
"5","After You've Gone","After You've Gone - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/After You've Gone - Jazz Lead Sheet.pdf"
"6","Ain't Misbehavin'","Ain't Misbehavin' - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Ain't Misbehavin' - Jazz Lead Sheet.pdf"
"7","Alice in Wonderland","Alice in Wonderland - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Alice in Wonderland - Jazz Lead Sheet.pdf"
"8","All Blues","All Blues - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/All Blues - Jazz Lead Sheet.pdf"
"9","All I Do Is Dream of You","All I Do Is Dream of You - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/All I Do Is Dream of You - Jazz Lead Sheet.pdf"
"10","All of me","All of me - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/All of me - Jazz Lead Sheet.pdf"
"11","All the things you are","All the things you are - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/All the things you are - Jazz Lead Sheet.pdf"
"12","Almost Like Being in Love","Almost Like Being in Love - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Almost Like Being in Love - Jazz Lead Sheet.pdf"
"13","Alone Together","Alone Together - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Alone Together - Jazz Lead Sheet.pdf"
"14","Anthropology","Anthropology - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Anthropology - Jazz Lead Sheet.pdf"
"15","Autumn Leaves","Autumn Leaves - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Autumn Leaves - Jazz Lead Sheet.pdf"
"16","Back Beat","Back Beat - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Back Beat - Jazz Lead Sheet.pdf"
"17","Back Home Again in Indiana","Back Home Again in Indiana - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Back Home Again in Indiana - Jazz Lead Sheet.pdf"
"18","Bag's Groove","Bag's Groove - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Bag's Groove - Jazz Lead Sheet.pdf"
"19","Beatrice","Beatrice - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Beatrice - Jazz Lead Sheet.pdf"
"20","Beautiful Love","Beautiful Love - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Beautiful Love - Jazz Lead Sheet.pdf"
"21","Billie's Bounce","Billie's Bounce - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Billie's Bounce - Jazz Lead Sheet.pdf"
"22","Black Orpheus(Manhã de Carnaval)","Black Orpheus(Manhã de Carnaval) - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Black Orpheus(Manhã de Carnaval) - Jazz Lead Sheet.pdf"
"23","Blue Bird","Blue Bird - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Blue Bird - Jazz Lead Sheet.pdf"
"24","Blue Bossa","Blue Bossa - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Blue Bossa - Jazz Lead Sheet.pdf"
"25","Blue Monk","Blue Monk - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Blue Monk - Jazz Lead Sheet.pdf"
"26","Blue Moon","Blue Moon - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Blue Moon - Jazz Lead Sheet.pdf"
"27","Blue Train","Blue Train - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Blue Train - Jazz Lead Sheet.pdf"
"28","Blues For Alice","Blues For Alice - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Blues For Alice - Jazz Lead Sheet.pdf"
"29","Bolivia","Bolivia - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Bolivia - Jazz Lead Sheet.pdf"
"30","But Not For Me","But Not For Me - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/But Not For Me - Jazz Lead Sheet.pdf"
"31","Bye Bye Blackbird","Bye Bye Blackbird - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Bye Bye Blackbird - Jazz Lead Sheet.pdf"
"32","C Jam Blues","C Jam Blues - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/C Jam Blues - Jazz Lead Sheet.pdf"
"33","C'est Si Bon","C'est Si Bon - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/C'est Si Bon - Jazz Lead Sheet.pdf"
"34","Cantaloupe Island","Cantaloupe Island - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Cantaloupe Island - Jazz Lead Sheet.pdf"
"35","Caravan","Caravan - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Caravan - Jazz Lead Sheet.pdf"
"36","Ceora","Ceora - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Ceora - Jazz Lead Sheet.pdf"
"37","Cheek to Cheek","Cheek to Cheek - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Cheek to Cheek - Jazz Lead Sheet.pdf"
"38","Cherokee","Cherokee - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Cherokee - Jazz Lead Sheet.pdf"
"39","Cold Duck Time","Cold Duck Time - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Cold Duck Time - Jazz Lead Sheet.pdf"
"40","Confirmation","Confirmation - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Confirmation - Jazz Lead Sheet.pdf"
"41","Coquette","Coquette - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Coquette - Jazz Lead Sheet.pdf"
"42","Cotton Tail","Cotton Tail - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Cotton Tail - Jazz Lead Sheet.pdf"
"43","Days of Wine and Roses","Days of Wine and Roses - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Days of Wine and Roses - Jazz Lead Sheet.pdf"
"44","Desafinado","Desafinado - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Desafinado - Jazz Lead Sheet.pdf"
"45","Dindi","Dindi - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Dindi - Jazz Lead Sheet.pdf"
"46","Don't Get Around Much Anymore","Don't Get Around Much Anymore - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Don't Get Around Much Anymore - Jazz Lead Sheet.pdf"
"47","Donna Lee","Donna Lee - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Donna Lee - Jazz Lead Sheet.pdf"
"48","Doxy","Doxy - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Doxy - Jazz Lead Sheet.pdf"
"49","Dream a Little Dream of Me","Dream a Little Dream of Me - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Dream a Little Dream of Me - Jazz Lead Sheet.pdf"
"50","Dream of You","Dream of You - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Dream of You - Jazz Lead Sheet.pdf"
"51","Easy Money","Easy Money - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Easy Money - Jazz Lead Sheet.pdf"
"52","Exactly Like You","Exactly Like You - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Exactly Like You - Jazz Lead Sheet.pdf"
"53","Fly me to the moon","Fly me to the moon - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Fly me to the moon - Jazz Lead Sheet.pdf"
"54","Footprints","Footprints - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Footprints - Jazz Lead Sheet.pdf"
"55","Four","Four - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Four - Jazz Lead Sheet.pdf"
"56","Frantonality","Frantonality - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Frantonality - Jazz Lead Sheet.pdf"
"57","Giant Step","Giant Step - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Giant Step - Jazz Lead Sheet.pdf"
"58","Good Morning","Good Morning - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Good Morning - Jazz Lead Sheet.pdf"
"59","Good Morning Heartache","Good Morning Heartache - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Good Morning Heartache - Jazz Lead Sheet.pdf"
"60","Have You Met Miss Jones","Have You Met Miss Jones - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Have You Met Miss Jones - Jazz Lead Sheet.pdf"
"61","Honeysuckle Rose","Honeysuckle Rose - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Honeysuckle Rose - Jazz Lead Sheet.pdf"
"62","How High The Moon","How High The Moon - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/How High The Moon - Jazz Lead Sheet.pdf"
"63","How Insensitive","How Insensitive - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/How Insensitive - Jazz Lead Sheet.pdf"
"64","I Can't Believe That You're in Love with Me","I Can't Believe That You're in Love with Me - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/I Can't Believe That You're in Love with Me - Jazz Lead Sheet.pdf"
"65","I Can't Give You Anything But Love","I Can't Give You Anything But Love - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/I Can't Give You Anything But Love - Jazz Lead Sheet.pdf"
"66","I Fall in Love Too Easily","I Fall in Love Too Easily - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/I Fall in Love Too Easily - Jazz Lead Sheet.pdf"
"67","I Got Rhythm","I Got Rhythm - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/I Got Rhythm - Jazz Lead Sheet.pdf"
"68","I May Be Wrong","I May Be Wrong - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/I May Be Wrong - Jazz Lead Sheet.pdf"
"69","I'll Remember April","I'll Remember April - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/I'll Remember April - Jazz Lead Sheet.pdf"
"70","I'm Begining to See the Light","I'm Begining to See the Light - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/I'm Begining to See the Light - Jazz Lead Sheet.pdf"
"71","I'm Confessin'(That I Love You)","I'm Confessin'(That I Love You) - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/I'm Confessin'(That I Love You) - Jazz Lead Sheet.pdf"
"72","I've Never Been in Love Before","I've Never Been in Love Before - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/I've Never Been in Love Before - Jazz Lead Sheet.pdf"
"73","If I Were a Bell","If I Were a Bell - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/If I Were a Bell - Jazz Lead Sheet.pdf"
"74","In a Mellow Tone","In a Mellow Tone - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/In a Mellow Tone - Jazz Lead Sheet.pdf"
"75","Interplay","Interplay - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Interplay - Jazz Lead Sheet.pdf"
"76","Isn't She Lovely","Isn't She Lovely - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Isn't She Lovely - Jazz Lead Sheet.pdf"
"77","It Could Happen To You","It Could Happen To You - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/It Could Happen To You - Jazz Lead Sheet.pdf"
"78","It Don't Mean A Thing","It Don't Mean A Thing - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/It Don't Mean A Thing - Jazz Lead Sheet.pdf"
"79","It Had To Be You","It Had To Be You - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/It Had To Be You - Jazz Lead Sheet.pdf"
"80","It's Always You","It's Always You - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/It's Always You - Jazz Lead Sheet.pdf"
"81","It's Only a Paper Moon","It's Only a Paper Moon - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/It's Only a Paper Moon - Jazz Lead Sheet.pdf"
